bin,n_users,tifu_ndcg,bsarec_ndcg,delta
no_repeat (=0),101,0.02770996581845898,0.031599902664015224,-0.003889936845556243
low (0-0.1],26,0.06990497558876672,0.038461538461538464,0.03144343712722826
mid (0.1-0.3],275,0.17656966880215297,0.12646251484282747,0.050107153959325496
high (>0.3),521,0.41780895257636774,0.36512240289572806,0.05268654968063968
