pop_bin,n_gt,tifu_hit_rate,bsarec_hit_rate,delta
top-100,422,0.5260663507109005,0.43364928909952605,0.09241706161137442
101-1k,369,0.34146341463414637,0.3143631436314363,0.027100271002710064
1k-10k,325,0.3046153846153846,0.24,0.06461538461538463
10k+,107,0.17757009345794392,0.18691588785046728,-0.009345794392523366
