bin,n_users,tifu_ndcg,bsarec_ndcg,delta
1-3,41,0.21224955581167476,0.19779353903245614,0.014456016779218622
4-6,86,0.23630755718473487,0.19775896163011664,0.03854859555461823
7-15,245,0.33916086034132187,0.31839575671192233,0.02076510362939954
16-50,361,0.27926466577680364,0.23670545769873622,0.04255920807806743
50+,190,0.3048301173191375,0.21380588018595764,0.09102423713317986
